committee_type,sub_committe,name,role,organization,country
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Peter C Dolan,,University of Minnesota Morris,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Pradeepkumar Palanisamy,,Fidelity Investments,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Prajakta Bhosale-Dhamdhere,,Vishwakarma University,"Pune, Maharashtra"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Prakash Manwani,,Apple Inc.,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Prakash Mathew,,Compunnel Software Group Inc,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Prakash K Sonwalkar,,Jain College of Engineering and Research,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Pramod Malikarjun Halapeti,,Amazon Web Services,USA
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Prasanth Kosaraju,,Dataquest Corp,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Prasenjeet Mahadev Madare,,Microsoft Corporation,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,"Prashant Patavardhan, ",,RV Institute of Technology and Management, India
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Pratikkumar Bhupendrabhai Patel,,Hexaware Technologies,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Pratima Dr. Manhas,,Manav Rachna International Institute of Research & Studies,Faridabad
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Praveen Kumar Alam,,Apple,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Praveen Kumar Guguloth,,BlackRock Inc,United States
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Praveen Kumar Surabhi,, KPK Technologies Inc,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Preeti Sali,,Ford Motor Company,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Prema T. Akkasaligar,Department of Computer Science and Engineering,"KLE Tech.Universityâ€™s Dr. MSSCET, Belagavi","Karnataka,India"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Prudhvi Raj Atluri,,Quantiphi Inc,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Pushap Goyal,, Google,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Raghavendra B Bonal,,Central University of Karnataka,India
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Rahul America,,Meta Platforms Inc,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Rahul Gupta,,Cadent TV,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Rahul Singh Thakur,,Salesforce,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Rahulchowdary Bondalapati,,Citizens Bank,United States
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Rajani Kant ,,Andavi Solutions Inc,
Organizing Committee,LOCAL ORGANIZING COMMITTEE,,,,
Organizing Committee,NATIONAL ADVISORY COMMITTEE,,,,
Organizing Committee,INTERNATIONAL ADVISORY COMMITTEE,Chandan Pal Singh,"SKPU, Shymkent",Kazakastan,
Organizing Committee,INTERNATIONAL ADVISORY COMMITTEE,Chitresh Sharma,,"Chief Data Architecture, L'Oréal, L'Oréal Paris",France
Organizing Committee,INTERNATIONAL ADVISORY COMMITTEE,DS Guru,,University of Mysore,India
Organizing Committee,INTERNATIONAL ADVISORY COMMITTEE,LONGWEI WANG,,University of South Dakota,USA
Organizing Committee,INTERNATIONAL ADVISORY COMMITTEE,Abdelkrim Haqiq,,Hassan First University of Settat," Settat,Morocco"
Organizing Committee,INTERNATIONAL ADVISORY COMMITTEE,Anas Abou el Kalam,,Cadi Ayyad University ,"Marrakesh,Morocco"
Organizing Committee,INTERNATIONAL ADVISORY COMMITTEE,Shashi Kant Gupta,,Eudoxia Research University,"New castle, USA"
Organizing Committee,INTERNATIONAL ADVISORY COMMITTEE,Arvind Bhardwaj,,"Test Lead, Capgemini",USA
Organizing Committee,, ,,,
Organizing Committee,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
